Bellek Hızı,Bluetooth Özelliği,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Kartı,Ekran Panel Tipi,eMMC Kapasitesi,Harddisk Kapasitesi,HDMI,İşlemci Cache,İşlemci Nesli,İşlemci Tipi,İşlemci,İşletim Sistemi,Kart Okuyucu,Klavye,Maksimum İşlemci Hızı,Max Ekran Çözünürlüğü,Optik Sürücü,Parmak İzi Okuyucu,Ram (Sistem Belleği),Ram Tipi,Renk,SSD Kapasitesi,Ürün Modeli,Webcam,Marka,Fiyat,Link
4800 MHz,Var,2 - 4 kg,Yok,"16,1 inç",GDDR6,6 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 3060,IPS,Yok,Yok,Var,24 MB Cache,12.Nesil,Intel Core i7,12700H,Yok (Free Dos),MicroSD  Card Reader,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Yok,16 GB,DDR5,Mavi,512 GB,Oyun Bilgisayarları,Var,HP,30.999,https://www.hepsiburada.com//hp-victus-16-d1049nt-intel-core-i7-12700h-16gb-ddr5-ram-512gb-ssd-rtx3060-16-1-144hz-ips-fhd-freedos-tasinabilir-bilgisayar-7h8y3ea-pm-HBC00003QQ92N
2933 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Harici Ekran Kartı,Nvidia GeForce GTX1650,IPS,Yok,Yok,Var,8 MB Cache,10.Nesil,Intel Core i5,10300H,Yok (Free Dos),Yok,Aydınlatmalı,"4,5 GHz",1920 x 1080,Belirtilmemiş,Yok,8 GB,DDR4,Siyah,512 GB,Oyun Bilgisayarları,Var,Asus,16.999,https://www.hepsiburada.com//asus-tuf-gaming-fx506lhb-hn323-intel-core-i5-10300h-8gb-512gb-ssd-gtx1650-freedos-15-6-tasinabilir-bilgisayar-pm-HBC000028VLR1
4800 MHz,Var,2 - 4 kg,Yok,"16,1 inç",GDDR6,4 GB,Harici Ekran Kartı,Nvidia GeForce RTX 3050 Ti,IPS,Yok,Yok,Var,24 MB Cache,12.Nesil,Intel Core i7,12700H,Yok (Free Dos),Var,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Yok,16 GB,DDR5,Gümüş,512 GB,Oyun Bilgisayarları,Var,HP,29.999,https://www.hepsiburada.com//hp-victus-16-d1042nt-intel-core-i7-12700h-16-gb-ddr5-ram-512-gb-ssd-4-gb-rtx3050ti-freedos-16-1-fhd-tasinabilir-bilgisayar-68p27ea-pm-HBC00002KRTZN
3200 MHz,Var,1 - 2 kg,Yok,14 inç,Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,12 MB Cache,11.Nesil,Intel Core i7,1195G7,Yok (Free Dos),Var,Q Türkçe,5 GHz,1933 x 1080,Yok,Yok,16 GB,DDR4,Gri,500 GB,Notebook,Var,Casper,12.299,https://www.hepsiburada.com//casper-nirvana-x400-1195-bv00x-g-f-intel-core-i7-1195g7-16gb-500gb-ssd-freedos-14-tasinabilir-bilgisayar-pm-HBC00003LKRFD
Belirtilmemiş,Var,1 - 2 kg,Yok,"15,6 inç",Belirtilmemiş,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,TN,Yok,Yok,Var,8 MB Cache,11.Nesil,Intel Core i5,1135G7,Windows 10 Home,Yok,Q Türkçe,"4,2 GHz",1920 x 1080,Yok,Yok,8 GB,Belirtilmemiş,Siyah,256 GB,Notebook,Var,Lenovo,13.179,https://www.hepsiburada.com//lenovo-v15-g2-intel-core-i5-1135g7-8gb-ram-256gb-ssd-windows-10-home-15-6-fhd-tasinabilir-bilgisayar-82kb000rtx-pm-HBC00000YOLKJ
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Irıs Graphics,TN,Yok,Yok,Var,12 MB Cache,12.Nesil,Intel Core i5,1240P,Yok (Free Dos),Yok,Q Türkçe,"4,4 GHz",1920 x 1080,Yok,Var,8 GB,DDR4,Mavi,512 GB,Notebook,Var,Asus,12.399,https://www.hepsiburada.com//asus-vivobook-15-x1502za-ej773-intel-core-i5-1240p-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-pm-HBC00002YYB2E
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 3050,WVA,Yok,Yok,Var,12 MB Cache,11.Nesil,Intel Core i5,11260H,Ubuntu,Yok,Numerik Tuşlu Aydınlatmalı,"4,4 GHz",1920 x 1280,Yok,Yok,16 GB,DDR4,Siyah,512 GB,Oyun Bilgisayarları,Var,Dell,17.799,https://www.hepsiburada.com//dell-gaming-g15-5511-i5-11260h-16gb-512gb-ssd-rtx3050-15-6-fhd-ubuntu-tasinabilir-bilgisayar-g55112306u-pm-HBC00002R8KR5
4800 MHz,Var,2 kg ve Altı,Yok,"15,6 inç",GDDR6,6 GB,Harici Ekran Kartı,Nvidia GeForce RTX 3060,IPS,Yok,Yok,Var,24 MB Cache,12.Nesil,Intel Core i7,12650H,Yok (Free Dos),Yok,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Yok,16 GB,DDR5,Siyah,512 GB,Oyun Bilgisayarları,Var,Asus,31.999,https://www.hepsiburada.com//asus-tuf-dash-f15-fx517zm-hn118-intel-core-i7-12650h-16gb-512gb-ssd-rtx3060-freedos-15-6-fhd-144hz-tasinabilir-bilgisayar-pm-HBC00002EJN0K
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Harici Ekran Kartı,AMD Radeon RX6500M,IPS,Yok,Yok,Var,16 MB L3 Cache,5.Nesil,AMD Ryzen 5,5600H,Yok (Free Dos),Var,Numerik Tuşlu,"4,2 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Gümüş,512 GB,Notebook,Var,HP,15.999,https://adservice.hepsiburada.com/event/api/v1/track?event=dHppUWp3U0ZqeEpPd1BzSHMxU2pxRktac005bWt2WjArRmluMUk1WXdyRW9tb08zM2xsMnFLWDA0VjBvbUNYYTQ1Yy82aDRvd1JlcmtKcm41UEZibGpzYlBva2lRejFma1F2bnBtZkdNREJBWlNhd0MxVzI1MUczeDZkbGpsUjB3UzFTbTZKRjVpR2dhcm5ESEpSK291bTRySVZ4YlBVMDBqek9CdWFjMXV2R2RCWHB3M29FcVp2TlZ4RWtWNlpxK0F3ZXRHM1NydnFOTXJNRGloZXhZL1BOWjRkZnlQRGZpZTN0d1dsN0RmVU1FeVBXcUgrc2JRcTh1ODAyTW1UNWMzbzlML1pLaHVacmg5K0kyUk5SOW1JdUY1VFUzTkU4a29Oc2htc05YZG1EQ3Zqa1lwQU03S3FhbmZvckwrWW1hamZaOUljTUlNZm44SURLb3RxRjhDYkVxa2t0TzlTVW5QSk0xSUg1eW9JN1FBcGJrczFudnR0V29RSTllWnFOUDdEdzJ6WWpKVW80WU9OcGVoNUJ1S3FwQy82Z2V0NzZhUXpMeEQ1cHhWc25jRms4QkxyRTFqNjk5NmpiaFluNXBmOWRmYzBSaGVwVGRLcUl5SjlrQzRhNUh4VFdaUU92TVJmVmFPZWxJOFBHU1I4MWJTdXRuK3l3NHBTYVFzWXVVTlFLMGFLKzVvUzBET0JMYVNsbjNxcG1yM2RPTFl3NmRFWQ==&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fhp-victus-gaming-laptop-15-fb0015nt-amd-ryzen-5-5600h-16-gb-512gb-ssd-rx6500m-freedos-15-6-fhd-144-hz-tasinabilir-bilgisayar-7j3t4ea-p-HBCV00003L6NMP%3Fmagaza%3DTeknorya&eventName=sp-click&platform=desktop
4800 MHz,Var,2 kg ve Altı,Yok,"15,6 inç",GDDR6,6 GB,Harici Ekran Kartı,Nvidia GeForce RTX 3060,IPS,Yok,Yok,Var,24 MB Cache,12.Nesil,Intel Core i7,12650H,Yok (Free Dos),Yok,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Yok,16 GB,DDR5,Siyah,512 GB,Oyun Bilgisayarları,Var,Asus,31.999,https://www.hepsiburada.com//asus-tuf-dash-f15-fx517zm-hn118-intel-core-i7-12650h-16gb-512gb-ssd-rtx3060-freedos-15-6-fhd-144hz-tasinabilir-bilgisayar-pm-HBC00002EJN0K
2666 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Irıs Graphics,IPS,Yok,Yok,Var,8 MB Cache,11.Nesil,Intel Core i5,1135G7,Yok (Free Dos),Yok,Q Türkçe,"4,2 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Gri,256 GB,Notebook,Var,Asus,9.999,https://www.hepsiburada.com//asus-x515ea-bq867-intel-core-i5-1135g7-8gb-256gb-ssd-freedos-15-6-fhd-ips-tasinabilir-bilgisayar-pm-HBC000022YGWV
2933 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Paylaşımlı,IPS,Yok,128 GB,Var,Belirtilmemiş,4.Nesil,Intel Celeron,Belirtilmemiş,Yok (Free Dos),Var,Q Türkçe,"2,8 GHz",1366 x 768,Yok,Yok,4 GB,DDR4,Siyah,128 GB,Notebook,Var,HP,8.899,https://www.hepsiburada.com//hp-15s-fg3010nt-intel-celeron-n4500-4gb-128gb-ssd-freedos-15-6-tasinabilir-bilgisayar-4h0k8ea-pm-HBC00000S9Q8I
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Yüksek Seviye Harici Ekran Kartı,Paylaşımlı,IPS,Yok,Yok,Var,16 MB L3 Cache,5.Nesil,AMD Ryzen 5,5600H,Yok (Free Dos),Var,Numerik Tuşlu,"4,2 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Beyaz,512 GB,Oyun Bilgisayarları,Var,HP,15.999,https://adservice.hepsiburada.com/event/api/v1/track?event=cThKc3dUbDdPajF5TVNETjd4SERFMVA3bUdPalRrTUwxaDdmOWYrOWlocmZ6dXJUU0s5aldwR2xKbnlwRjVFTStFdXdVejZRUGtNb0JBNVZ3eXJjT1UvaWRrZldjaHQ0Z1dVVm94NEFNRGpHTkYyUHhDZDNGWkJYUlpHekJMcFBFUFUrOXJEMXkzS3V4RGhOYnE5ZlpOSlJYWlY0YlZzcjhSTGJOR2Z5WVdPMVdMQnUrZ2ZLRkdBdmEwQjRPRzFMbXFqSlh4WmpkNFBXbDVkZUVSSFlrV2VlOWMzWlRjZGFGZWNuZEhGbWR5d0N6STdmSi9kK0lPYlJ0Z2d0RmZEd0VCcEF3aVZtTnBGQUplNnJ6MkpUc2NsbmF3RjZHeUNjK2dtQ2JHeVhmZUY5cFdBUGF3L0NrN0gyVlJBRkU3akhuZ0ZsWHNuTjNJRllNb2NBQVhTa3N3TUkrMGR5UTRDZWZxaGRnYnhpVjBoeTdINEZJRHlKOE9zRndRRnJxQkgwTWxpVmd6d1JQU21tMURadzJWQlJxOGlTaGRIZTkzWnpkMk1nMzY5T25IWWpGNkMrKy96aEdON1FrMkZmczVLTUFLbTczeDg5OThRekcxWG9XN3R0cVBXTHhGemg1QWMvcndrc3RjZVIxWWpxMkh0dUx5M3pwUzZoVzJzbnRlRU5UTVRFWkdFUXVqK2NLMktJb0psc0luMmErQXJZSzBnOUI3Yw==&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fhp-victus-gaming-laptop-15-fb0026nt-amd-ryzen-5-5600h-16-gb-512gb-ssd-rx6500m-freedos-15-6-fhd-144-hz-tasinabilir-bilgisayar-7n9g8ea-p-HBCV00003UOWSB%3Fmagaza%3DTeknorya&eventName=sp-click&platform=desktop
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,6 GB,Harici Ekran Kartı,Nvidia GeForce RTX 3060,TN,Yok,Yok,Var,24 MB Cache,12.Nesil,Intel Core i7,1280P,Yok (Free Dos),Yok,Aydınlatmalı,"4,8 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Siyah,1 TB,Oyun Bilgisayarları,Var,MSI,46.999,https://www.hepsiburada.com//msi-stealth-15m-b12ue-034xtr-intel-core-i7-1280p-16gb-1tb-ssd-rtx3060-freedos-15-6-fhd-tasinabilir-bilgisayar-pm-HBC00001TXB0V
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,12 MB Cache,12.Nesil,1255U,1255U,Yok (Free Dos),Var,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Var,32 GB,DDR4,Gümüş,1 TB,Notebook,Var,Monster,21.599,https://adservice.hepsiburada.com/event/api/v1/track?event=dEJQMmpnb3E5WVhFR0FzdzNub1hwSFNYOGtkazlPT2JVcGp5T3J6ZUszZzBoNS9kVktwSW1kRzRoOFptWWIvN2hlaWUrNUl0MjFHamVmU3FyNkkzaS8vd2pUMXhDWEk5S1B1VnVFekllbzkrUHd0M1pJVFdRNy9ROWI0QmM3bnZnVEsvV3ZpdFZ4cDVuSjhEQUljMm1Na1c0V0xIdmZtTCtUZE9QYWlGNE5qUENuT01mZ3pxM0lpOGVsOGRNNHhTRVp4V3RHMnRsQkRlUEIrTktTQzdxNlJtbkNFL2VvVjVBRGVDaWc0Mk5YMDFJQVVMNkk4U21KQVNZZXB2M215bGR0KzVMTldmTUEzZTY4VkVnY29BcVo5UTNsQ0dGaUpQM0tOSlluMDRZN2phRmRTWVBBNUd3K0pXSHlDaFEwR0h2a1JTNGF5dDIybU8wYzlnZGxpQU0zdGs3dUVCbDVxa3R2eUJpSkZiM1RVallKY0xCcmNRcnNKOXpvOERJRW1Ea3JnZ2NnekZuRkdEY0VCdTh1YnVRUlpuZlBEOFJpdDFOL2FROUw2eWo4V0ZmQmpMUXc3Y3lqRmFIM1pYN1BqK3hXMkh3NVBEU0w1VFlxTzZKclp3bXhsRHR0dlFCRG5kRnZTUlZ4SnFoWXJidWw1dy9PMXgzTHdGdFQxNEhsYlRVQkNUdW1za281ZUluUnorRmc=&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fmonster-huma-h5-v4-2-10-intel-core-i7-1255u-32gb-1tb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-p-HBCV00003TDBE3%3Fmagaza%3DMonster+Notebook&eventName=sp-click&platform=desktop
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel UHD Graphics,TN,Yok,Yok,Var,8 MB Cache,11.Nesil,Intel Core i5,1155G7,Yok (Free Dos),Var,Aydınlatmalı,"4,5 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,"Gri, Gri",512 GB,Notebook,Var,MSI,23.123,https://www.hepsiburada.com//msi-modern-15-a11mu-839xtr-intel-core-i5-1155g7-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-pm-HBC00000ZAY8G
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,8 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 4060,IPS,Yok,Yok,Var,12 MB Cache,12.Nesil,Intel Core i5,12450H,Yok (Free Dos),Yok,RGB,"4,4 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Gri,1 TB,Oyun Bilgisayarları,Var,Casper,28.999,https://www.hepsiburada.com//casper-excalibur-g870-1245-bfb0x-b-intel-core-i5-12450h-16gb-ram-1tb-nvme-ssd-8gb-rtx4060-freedos-tasinabilir-bilgisayar-pm-HBC00003ZQBLH
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Harici Ekran Kartı,Nvidia GeForce RTX 3050,IPS,Yok,Yok,Var,24 MB Cache,12.Nesil,Intel Core i7,12700H,Yok (Free Dos),Yok,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Metalik Gri,512 GB,Oyun Bilgisayarları,Var,Asus,30.948,https://www.hepsiburada.com//asus-tuf-gaming-f15-fx507zc4-hn008-intel-core-i7-12700h-16gb-512gb-ssd-rtx3050-freedos-15-6-fhd-144hz-tasinabilir-bilgisayar-pm-HBC00003ZB2YQ
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Belirtilmemiş,Belirtilmemiş,Harici Ekran Kartı,AMD Radeon Graphics,IPS,Yok,Yok,Var,16 MB L3 Cache,5.Nesil,AMD Ryzen 5,5600H,Yok (Free Dos),Var,Numerik Tuşlu,"4,2 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Mavi,512 GB,Oyun Bilgisayarları,Var,HP,15.999,https://adservice.hepsiburada.com/event/api/v1/track?event=MHA3aVhDVW03VXdMRm5LMEtPaXZhMTIzUmVaZEsvcFJiakF2NTZxTFM2SWcyRTFNYjkyY3NCYTVyNi91MjNlOVBhb1NGWG1IY0tVV1l0V2tpSWFUa0RIZjhrTzdXdFc3NDZaaktvRDNEenNVZm9JOWNKcUxwaTFzQkZGWW03SU5taHBIYXVKaC9lcldzSlRpK2IvdURaZ3BhYndZQU1xd3lESWp5Mm5TSmlpY0RvWllPZTk1MDZ4UjZMTzhaelVZc1RhTTNNZ3lFSTN5OW9CSWtlVld6OStvMmVGMnJCRjlzSlVrNUVySjU5R3g0Z3V0Z3dybVhTYndudW9rZlJSR3RRTG0zVE5RWHEvWEhRalUzQU55aVlCVFlZOEpVbzFNV2hmREJkWVJMU2o4NE9RbjlMakJjRG1YZHRBcmt0Sms4TEk0b3BLL0RRTG5hTktGN0dVYlRQNUh0MURCblBiTWtLelpHdUp3VUMzWGpNWnR0MjlLVURvbWtGem9YN2lkUzEzR3RLWmN3eHAwU2dIWVY1TVlINkhVTTJkbVdmNFFabk05ZDdzSXVkcXIrbHhOWmJ0bGxuTmV2cDFvRXdacXNFQzB2SXBnR3NTWW1hc2VaNWU5SzFNN0dTdGNkaXNobEQ2eU9FSytxYkNOZmVyYndCUGhtOE9ZL3JqaGZyOHpqQWtuTEgwbVN1TEJNUnJM&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fhp-victus-gaming-laptop-15-fb0025nt-amd-ryzen-5-5600h-16gb-512gb-ssd-rx6500m-freedos-15-6-fhd-tasinabilir-bilgisayar-7n9g7ea-p-HBCV00003T6I7O%3Fmagaza%3DTeknorya&eventName=sp-click&platform=desktop
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 3050 Ti,IPS,Yok,Yok,Var,24 MB Cache,11.Nesil,Intel Core i7,11800H,Yok (Free Dos),Yok,Q Türkçe,"4,6 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Siyah,500 GB,Oyun Bilgisayarları,Var,Monster,21.799,https://www.hepsiburada.com//monster-abra-a5-v17-3-5-intel-core-i7-11800h-16gb-ram-500-gb-ssd-rtx-3050-ti-freedos-15-6-inc-fhd-144-hz-oyun-bilgisayari-pm-HBC0000409SVJ
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce GTX1650,IPS,Yok,Yok,Var,12 MB Cache,11.Nesil,Intel Core i5,11400H,Yok (Free Dos),Belirtilmemiş,Numerik Tuşlu Aydınlatmalı,"4,7 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Siyah - Kırmızı,512 GB,Oyun Bilgisayarları,Var,Acer,14.999,https://www.hepsiburada.com//acer-nitro-5-an515-57-intel-core-i5-11400h-16-gb-512gb-ssd-gtx1650-freedos-15-6-fhd-144hz-tasinabilir-bilgisayar-nh-qekey-001-16-pm-HBC000042SQ2N
2666 MHz,Var,2 - 4 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel UHD Graphics,WVA,Yok,Yok,Var,8 MB Cache,11.Nesil,Intel Core i5,1135G7,Ubuntu,Yok,Numerik Tuşlu,"4,2 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Siyah,512 GB,Notebook,Var,Dell,11.649,https://www.hepsiburada.com//dell-inspiron-3511-intel-core-i5-1135g7-8gb-512gb-ssd-ubuntu-15-6-fhd-tasinabilir-bilgisayar-pm-HBC00002Y5WG9
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Harici Ekran Kartı,Nvidia GeForce RTX 2050,IPS,Yok,Yok,Var,12 MB L3 Cache,13.Nesil,Intel Core i5,13420H,Yok (Free Dos),Yok,Q Türkçe,"4,6 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Mika Gümüşü,512 GB,Oyun Bilgisayarları,Var,HP,16.999,https://www.hepsiburada.com//hp-victus-gaming-15-fa1011nt-intel-core-i5-13420h-16gb-512gb-ssd-rtx2050-freedos-15-6-fhd-144hz-tasinabilir-bilgisayar-7n9s5ea-pm-HBC000049C7V7
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 3050,IPS,Yok,Yok,Var,18 MB Cache,13.Nesil,Intel Core i5,13500H,Yok (Free Dos),Belirtilmemiş,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Mika Gümüşü,512 GB,Oyun Bilgisayarları,Var,HP,19.998,https://www.hepsiburada.com//hp-victus-gaming-15-fa1010nt-intel-core-i5-13500h-16gb-512gb-ssd-rtx3050-freedos-15-6-fhd-tasinabilir-bilgisayar-7n9s4ea-pm-HBC000048JZL0
4800 MHz,Var,1 - 2 kg,Yok,14 inç,Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Irıs Graphics,OLED,Yok,Yok,Var,12 MB Cache,12.Nesil,Intel Core i5,1240P,Windows 11 Home,Var,Q Türkçe,"4,4 GHz",2880 x 1800,Yok,Yok,16 GB,LPDDR5,Mavi,512 GB,Notebook,Var,Asus,20.999,https://www.hepsiburada.com//asus-zenbook-14-oled-ux3402za-km501w-intel-core-i5-1240p-16gb-512gb-ssd-windows-11-home-14-tasinabilir-bilgisayar-pm-HBC00002YYB1W
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Harici Ekran Kartı,Nvidia GeForce GTX1650,WVA,Yok,Yok,Var,12 MB Cache,11.Nesil,Intel Core i5,11400H,Yok (Free Dos),Var,Numerik Tuşlu Aydınlatmalı,"4,5 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Siyah,500 GB,Oyun Bilgisayarları,Var,Monster,16.999,https://www.hepsiburada.com//monster-abra-a5-v16-7-intel-core-i5-11400h-8gb-ram-500gb-ssd-4gb-gtx1650-freedos-15-6-fhd-144hz-oyun-bilgisayari-pm-HBC00000BS9DJ
3200 MHz,Var,2 - 4 kg,Yok,"17,3 inç",GDDR6,4 GB,Harici Ekran Kartı,Nvidia GeForce RTX 3050,IPS,512 GB,Yok,Var,24 MB,11.Nesil,Intel Core i7,11800H,Windows 11 Home,Yok,Q Türkçe,"4,6 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Siyah,512 GB,Notebook,Var,MSI,25.799,https://www.hepsiburada.com//msi-katana-gf76-11uc-638tr-intel-core-i7-11800h-16gb-512gb-ssd-rtx3050-17-3-fhd-windows-11-home-tasinabilir-bilgisayar-pm-HBC00002928J2
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",GDDR6,4 GB,Harici Ekran Kartı,Nvidia GeForce RTX 3050 Ti,TN,Yok,Yok,Var,24 MB Cache,11.Nesil,Intel Core i7,11800H,Yok (Free Dos),Yok,Aydınlatmalı,"4,1 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Siyah,512 GB,Oyun Bilgisayarları,Var,MSI,25.077,https://www.hepsiburada.com//msi-gf63-thin-11ud-428xtr-intel-core-i7-11800h-16gb-512gb-ssd-rtx3050ti-freedos-15-6-tasinabilir-bilgisayar-pm-HBC000015VD3O
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 3050 Ti,IPS,Yok,Yok,Var,12 MB Cache,11.Nesil,Intel Core i5,11400H,Windows 11 Home,Yok,RGB,"4,5 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Siyah,500 GB,Oyun Bilgisayarları,Var,Casper,21.898,https://www.hepsiburada.com//casper-excalibur-g770-1140-8el0t-b-intel-core-i5-11400h-8gb-500gb-ssd-rtx3050ti-windows-11-home-15-6-tasinabilir-bilgisayar-pm-HBC00001D8UF7
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",GDDR6,2 GB,Harici Ekran Kartı,Nvidia GeForce MX550,IPS,Yok,Yok,Var,12 MB L3 Cache,12.Nesil,1255U,1255U,Yok (Free Dos),Var,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Gri,512 GB,Notebook,Yok,HP,17.990,https://www.hepsiburada.com//hp-15-dw4000nt-intel-core-i7-1255u-8gb-512gb-ssd-mx550-freedos-15-6-tasinabilir-bilgisayar-71v44ea-pm-HBC000031S1XB
4800 MHz,Var,2 - 4 kg,Belirtilmemiş,"15,6 inç",GDDR6,6 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 4050,IPS,Yok,Yok,Var,16 MB L3 Cache,7.Nesil,AMD Ryzen 7,7735HS,Yok (Free Dos),Belirtilmemiş,RGB,"4,7 GHz",1920 x 1080,Belirtilmemiş,Belirtilmemiş,8 GB,DDR5,Gri,512 GB,Oyun Bilgisayarları,Var,Asus,29.399,https://www.hepsiburada.com//asus-tuf-gaming-a15-fa507nu-lp053-amd-ryzen-7-7735hs-8-gb-512-gb-ssd-rtx-4050-144-hz-freedos-15-6-fhd-tasinabilir-bilgisayar-pm-HBC00003VLRAX
2666 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR4,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,LED,Yok,512 GB,Var,10 MB Cache,11.Nesil,Intel Core i5,1135G7,Yok (Free Dos),Yok,Q Türkçe,"2,4 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Koyu Gri;Siyah,512 GB,Notebook,Var,Lenovo,10.999,https://www.hepsiburada.com//lenovo-v15-g2-itl-intel-core-i5-1135g7-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82kb00catx-pm-HBC00002N8XE6
4800 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 3050,IPS,Yok,Yok,Var,20 MB Cache,6.Nesil,AMD Ryzen 7,6800HS,Yok (Free Dos),Yok,RGB,"4,7 GHz",1920 x 1080,Yok,Yok,16 GB,DDR5,Koyu Gri,512 GB,Oyun Bilgisayarları,Yok,Asus,24.999,https://www.hepsiburada.com//asus-rog-strix-g15-g513rc-hn194-amd-ryzen-7-6800hs-16-gb-512-gb-ssd-rtx-3050-144-hz-freedos-15-6-fhd-tasinabilir-bilgisayar-pm-HBC00003V0LPE
